"Variables ->", "x"
"2002W03", 2.63000000e+01
"2002W04", 6.54100000e+01
"2002W05", 6.89200000e+01
"2002W06", 7.48200000e+01
"2002W07", 4.50500000e+01
"2002W08", 8.38000000e+00
"2002W09", 2.29000000e+01
"2002W10", 9.13300000e+01
"2002W11", 1.52400000e+01
"2002W12", 8.25800000e+01
"2002W13", 5.38300000e+01
"2002W14", 9.96100000e+01
"2002W15", 7.82000000e+00
"2002W16", 4.42700000e+01
"2002W17", 1.06700000e+01
"2002W18", 9.61900000e+01
"2002W19", 4.60000000e-01
"2002W20", 7.74900000e+01
"2002W21", 8.17300000e+01
"2002W22", 8.68700000e+01
"2002W23", 8.44000000e+00
"2002W24", 3.99800000e+01
"2002W25", 2.59900000e+01
"2002W26", 8.00100000e+01
"2002W27", 4.31400000e+01
"2002W28", 9.10600000e+01
"2002W29", 1.81800000e+01
"2002W30", 2.63800000e+01
"2002W31", 1.45500000e+01
"2002W32", 1.36100000e+01
"2002W33", 8.69300000e+01
"2002W34", 5.79700000e+01
"2002W35", 5.49900000e+01
"2002W36", 1.45000000e+01
"2002W37", 8.53000000e+01
"2002W38", 6.22100000e+01
"2002W39", 3.51000000e+01
"2002W40", 5.13200000e+01
"2002W41", 4.01800000e+01
"2002W42", 7.60000000e+00
"2002W43", 2.39900000e+01
"2002W44", 1.23300000e+01
"2002W45", 1.83900000e+01
"2002W46", 2.40000000e+01
"2002W47", 4.17300000e+01
"2002W48", 4.97000000e+00
"2002W49", 9.02700000e+01
"2002W50", 9.44800000e+01
"2002W51", 4.90900000e+01
"2002W52", 4.89300000e+01
"2003W01", 3.37700000e+01
"2003W02", 9.00100000e+01
"2003W03", 3.69200000e+01
"2003W04", 1.11200000e+01
"2003W05", 7.80300000e+01
"2003W06", 3.89700000e+01
"2003W07", 2.41700000e+01
"2003W08", 4.03900000e+01
"2003W09", 9.65000000e+00
"2003W10", 1.32000000e+01
"2003W11", 9.42100000e+01
"2003W12", 9.56100000e+01
"2003W13", 5.75200000e+01
"2003W14", 5.98000000e+00
"2003W15", 2.34800000e+01
"2003W16", 3.53200000e+01
"2003W17", 8.21200000e+01
"2003W18", 1.54000000e+00
"2003W19", 4.30000000e+00
"2003W20", 1.69000000e+01
"2003W21", 6.49100000e+01
"2003W22", 7.31700000e+01
"2003W23", 6.47700000e+01
"2003W24", 4.50900000e+01
"2003W25", 5.47000000e+01
"2003W26", 2.96300000e+01
"2003W27", 7.44700000e+01
"2003W28", 1.89000000e+01
"2003W29", 6.86800000e+01
"2003W30", 1.83500000e+01
"2003W31", 3.68500000e+01
"2003W32", 6.25600000e+01
"2003W33", 7.80200000e+01
"2003W34", 8.11000000e+00
"2003W35", 9.29400000e+01
"2003W36", 7.75700000e+01
"2003W37", 4.86800000e+01
"2003W38", 4.35900000e+01
"2003W39", 4.46800000e+01
"2003W40", 3.06300000e+01
"2003W41", 5.08500000e+01
"2003W42", 5.10800000e+01
"2003W43", 8.17600000e+01
"2003W44", 7.94800000e+01
"2003W45", 6.44300000e+01
"2003W46", 3.78600000e+01
"2003W47", 8.11600000e+01
"2003W48", 5.32800000e+01
"2003W49", 3.50700000e+01
"2003W50", 9.39000000e+01
"2003W51", 8.75900000e+01
"2003W52", 5.50200000e+01
"2004W01", 6.22500000e+01
"2004W02", 5.87000000e+01
"2004W03", 2.07700000e+01
"2004W04", 3.01200000e+01
"2004W05", 4.70900000e+01
"2004W06", 2.30500000e+01
"2004W07", 8.44300000e+01
"2004W08", 1.94800000e+01
"2004W09", 2.25900000e+01
"2004W10", 1.70700000e+01
"2004W11", 2.27700000e+01
"2004W12", 4.35700000e+01
"2004W13", 3.11100000e+01
"2004W14", 9.23400000e+01
"2004W15", 4.30200000e+01
"2004W16", 1.84800000e+01
"2004W17", 9.04900000e+01
"2004W18", 9.79700000e+01
"2004W19", 4.38900000e+01
"2004W20", 1.11100000e+01
"2004W21", 2.58100000e+01
"2004W22", 4.08700000e+01
"2004W23", 5.94900000e+01
"2004W24", 2.62200000e+01
"2004W25", 6.02800000e+01
"2004W26", 7.11200000e+01
"2004W27", 2.21700000e+01
"2004W28", 1.17400000e+01
"2004W29", 2.96700000e+01
"2004W30", 3.18800000e+01
"2004W31", 4.24200000e+01
"2004W32", 5.07900000e+01
"2004W33", 8.55000000e+00
"2004W34", 2.62500000e+01
"2004W35", 8.01000000e+01
"2004W36", 2.92000000e+00
"2004W37", 9.28900000e+01
"2004W38", 7.30300000e+01
"2004W39", 4.88600000e+01
"2004W40", 5.78500000e+01
"2004W41", 2.37300000e+01
"2004W42", 4.58800000e+01
"2004W43", 9.63100000e+01
"2004W44", 5.46800000e+01
"2004W45", 5.21100000e+01
"2004W46", 2.31600000e+01
"2004W47", 4.88900000e+01
"2004W48", 6.24100000e+01
"2004W49", 6.79100000e+01
"2004W50", 3.95500000e+01
"2004W51", 3.67400000e+01
"2004W52", 9.88000000e+01
"2004W53", 3.77000000e+00
"2005W01", 8.85200000e+01
"2005W02", 9.13300000e+01
"2005W03", 7.96200000e+01
"2005W04", 9.87000000e+00
"2005W05", 2.61900000e+01
"2005W06", 3.35400000e+01
"2005W07", 6.79700000e+01
"2005W08", 1.36600000e+01
"2005W09", 7.21200000e+01
"2005W10", 1.06800000e+01
"2005W11", 6.53800000e+01
"2005W12", 4.94200000e+01
"2005W13", 7.79100000e+01
"2005W14", 7.15000000e+01
"2005W15", 9.03700000e+01
"2005W16", 8.90900000e+01
"2005W17", 3.34200000e+01
"2005W18", 6.98700000e+01
"2005W19", 1.97800000e+01
"2005W20", 3.05000000e+00
"2005W21", 7.44100000e+01
"2005W22", 5.00000000e+01
"2005W23", 4.79900000e+01
"2005W24", 9.04700000e+01
"2005W25", 6.09900000e+01
"2005W26", 6.17700000e+01
"2005W27", 8.59400000e+01
"2005W28", 8.05500000e+01
"2005W29", 5.76700000e+01
"2005W30", 1.82900000e+01
"2005W31", 2.39900000e+01
"2005W32", 8.86500000e+01
"2005W33", 2.87000000e+00
"2005W34", 4.89900000e+01
"2005W35", 1.67900000e+01
"2005W36", 9.78700000e+01
"2005W37", 7.12700000e+01
"2005W38", 5.00500000e+01
"2005W39", 4.71100000e+01
"2005W40", 5.96000000e+00
"2005W41", 6.82000000e+01
"2005W42", 4.24000000e+00
"2005W43", 7.14000000e+00
"2005W44", 5.21600000e+01
"2005W45", 9.67000000e+00
"2005W46", 8.18100000e+01
"2005W47", 8.17500000e+01
"2005W48", 7.22400000e+01
"2005W49", 1.49900000e+01
"2005W50", 6.59600000e+01
"2005W51", 5.18600000e+01
"2005W52", 9.73000000e+01
"2006W01", 6.49000000e+01
"2006W02", 8.00300000e+01
"2006W03", 4.53800000e+01
"2006W04", 4.32400000e+01
"2006W05", 8.25300000e+01
"2006W06", 8.35000000e+00
"2006W07", 1.33200000e+01
"2006W08", 1.73400000e+01
"2006W09", 3.90900000e+01
"2006W10", 8.31400000e+01
"2006W11", 8.03400000e+01
"2006W12", 6.05000000e+00
"2006W13", 3.99300000e+01
"2006W14", 5.26900000e+01
"2006W15", 4.16800000e+01
"2006W16", 6.56900000e+01
"2006W17", 6.28000000e+01
"2006W18", 2.92000000e+01
"2006W19", 4.31700000e+01
"2006W20", 1.55000000e+00
"2006W21", 9.84100000e+01
"2006W22", 1.67200000e+01
"2006W23", 1.06200000e+01
"2006W24", 3.72400000e+01
"2006W25", 1.98100000e+01
"2006W26", 4.89700000e+01
"2006W27", 3.39500000e+01
"2006W28", 9.51600000e+01
"2006W29", 9.20300000e+01
"2006W30", 5.27000000e+00
"2006W31", 7.37900000e+01
"2006W32", 2.69100000e+01
"2006W33", 4.22800000e+01
"2006W34", 5.47900000e+01
"2006W35", 9.42700000e+01
"2006W36", 4.17700000e+01
"2006W37", 9.83100000e+01
"2006W38", 3.01500000e+01
"2006W39", 7.01100000e+01
"2006W40", 6.66300000e+01
"2006W41", 5.39100000e+01
"2006W42", 6.98100000e+01
"2006W43", 6.66500000e+01
"2006W44", 1.78100000e+01
"2006W45", 1.28000000e+01
"2006W46", 9.99100000e+01
"2006W47", 1.71100000e+01
"2006W48", 3.26000000e+00
"2006W49", 5.61200000e+01
"2006W50", 8.81900000e+01
"2006W51", 6.69200000e+01
"2006W52", 1.90400000e+01
"2007W01", 3.68900000e+01
"2007W02", 4.60700000e+01
"2007W03", 9.81600000e+01
"2007W04", 1.56400000e+01
"2007W05", 8.55500000e+01
"2007W06", 6.44800000e+01
"2007W07", 3.76300000e+01
"2007W08", 1.90900000e+01
"2007W09", 4.28300000e+01
"2007W10", 4.82000000e+01
"2007W11", 1.20600000e+01
"2007W12", 5.89500000e+01
"2007W13", 2.26200000e+01
"2007W14", 3.84600000e+01
"2007W15", 5.83000000e+01
"2007W16", 2.51800000e+01
"2007W17", 2.90400000e+01
"2007W18", 6.17100000e+01
"2007W19", 2.65300000e+01
"2007W20", 8.24400000e+01
"2007W21", 9.82700000e+01
"2007W22", 7.30200000e+01
"2007W23", 3.43900000e+01
"2007W24", 5.84100000e+01
"2007W25", 1.07800000e+01
"2007W26", 9.06300000e+01
"2007W27", 8.79700000e+01
"2007W28", 8.17800000e+01
"2007W29", 2.60700000e+01
"2007W30", 5.94400000e+01
"2007W31", 2.25000000e+00
"2007W32", 4.25300000e+01
"2007W33", 3.12700000e+01
"2007W34", 1.61500000e+01
"2007W35", 1.78800000e+01
"2007W36", 4.22900000e+01
"2007W37", 9.42000000e+00
"2007W38", 5.98500000e+01
"2007W39", 4.70900000e+01
"2007W40", 6.95900000e+01
"2007W41", 6.99900000e+01
"2007W42", 6.38500000e+01
"2007W43", 3.36000000e+00
"2007W44", 6.88000000e+00
"2007W45", 3.19600000e+01
"2007W46", 5.30900000e+01
"2007W47", 6.54400000e+01
"2007W48", 4.07600000e+01
"2007W49", 8.20000000e+01
"2007W50", 7.18400000e+01
"2007W51", 9.68600000e+01
"2007W52", 5.31300000e+01
"2008W01", 3.25100000e+01
"2008W02", 1.05600000e+01
"2008W03", 6.11000000e+01
"2008W04", 7.78800000e+01
"2008W05", 4.23500000e+01
"2008W06", 9.08000000e+00
"2008W07", 2.66500000e+01
"2008W08", 1.53700000e+01
"2008W09", 2.81000000e+01
"2008W10", 4.40100000e+01
"2008W11", 5.27100000e+01
"2008W12", 4.57400000e+01
"2008W13", 8.75400000e+01
"2008W14", 5.18100000e+01
"2008W15", 9.43600000e+01
"2008W16", 6.37700000e+01
"2008W17", 9.57700000e+01
"2008W18", 2.40700000e+01
"2008W19", 6.76100000e+01
"2008W20", 2.89100000e+01
"2008W21", 6.71800000e+01
"2008W22", 6.95100000e+01
"2008W23", 6.80000000e+00
"2008W24", 2.54800000e+01
"2008W25", 2.24000000e+01
"2008W26", 6.67800000e+01
"2008W27", 8.44400000e+01
"2008W28", 3.44500000e+01
"2008W29", 7.80500000e+01
"2008W30", 6.75300000e+01
"2008W31", 6.70000000e-01
"2008W32", 6.02200000e+01
"2008W33", 3.86800000e+01
"2008W34", 9.16000000e+01
"2008W35", 1.20000000e-01
"2008W36", 4.62400000e+01
"2008W37", 4.24300000e+01
"2008W38", 4.60900000e+01
"2008W39", 7.70200000e+01
"2008W40", 3.22500000e+01
"2008W41", 7.84700000e+01
"2008W42", 4.71400000e+01
"2008W43", 3.58000000e+00
"2008W44", 1.75900000e+01
"2008W45", 7.21800000e+01
"2008W46", 4.73500000e+01
"2008W47", 1.52700000e+01
"2008W48", 3.41100000e+01
"2008W49", 6.07400000e+01
"2008W50", 1.91700000e+01
"2008W51", 7.38400000e+01
"2008W52", 2.42800000e+01
"2009W01", 9.17400000e+01
"2009W02", 2.69100000e+01
"2009W03", 7.65500000e+01
"2009W04", 1.88700000e+01
"2009W05", 2.87500000e+01
"2009W06", 9.11000000e+00
"2009W07", 5.76200000e+01
"2009W08", 6.83400000e+01
"2009W09", 5.46600000e+01
"2009W10", 4.25700000e+01
"2009W11", 6.44400000e+01
"2009W12", 6.47600000e+01
"2009W13", 6.79000000e+01
"2009W14", 6.35800000e+01
"2009W15", 9.45200000e+01
"2009W16", 2.08900000e+01
"2009W17", 7.09300000e+01
"2009W18", 2.36200000e+01
"2009W19", 1.19400000e+01
"2009W20", 6.07300000e+01
"2009W21", 4.50100000e+01
"2009W22", 4.58700000e+01
"2009W23", 6.61900000e+01
"2009W24", 7.70300000e+01
"2009W25", 3.50200000e+01
"2009W26", 6.62000000e+01
"2009W27", 4.16200000e+01
"2009W28", 8.41900000e+01
"2009W29", 8.32900000e+01
"2009W30", 2.56400000e+01
"2009W31", 6.13500000e+01
"2009W32", 5.82200000e+01
"2009W33", 5.40700000e+01
"2009W34", 8.69900000e+01
"2009W35", 2.64800000e+01
"2009W36", 3.18100000e+01
"2009W37", 1.19200000e+01
"2009W38", 9.39800000e+01
"2009W39", 6.45600000e+01
"2009W40", 4.79500000e+01
"2009W41", 6.39300000e+01
"2009W42", 5.44700000e+01
"2009W43", 6.47300000e+01
"2009W44", 5.43900000e+01
"2009W45", 7.21000000e+01
"2009W46", 5.22500000e+01
"2009W47", 9.93700000e+01
"2009W48", 2.18700000e+01
"2009W49", 1.05800000e+01
"2009W50", 1.09700000e+01
"2009W51", 6.36000000e+00
"2009W52", 4.04600000e+01
"2009W53", 4.48400000e+01
"2010W01", 3.65800000e+01
"2010W02", 7.63500000e+01
"2010W03", 6.27900000e+01
"2010W04", 7.72000000e+01
"2010W05", 9.32900000e+01
"2010W06", 9.72700000e+01
"2010W07", 1.92000000e+01
"2010W08", 1.38900000e+01
"2010W09", 6.96300000e+01
"2010W10", 9.38000000e+00
"2010W11", 5.25400000e+01
"2010W12", 5.30300000e+01
"2010W13", 8.61100000e+01
"2010W14", 4.84900000e+01
"2010W15", 3.93500000e+01
"2010W16", 6.71400000e+01
"2010W17", 7.41300000e+01
"2010W18", 5.20100000e+01
"2010W19", 3.47700000e+01
"2010W20", 1.50000000e+01
"2010W21", 5.86100000e+01
"2010W22", 2.62100000e+01
"2010W23", 4.45000000e+00
"2010W24", 7.54900000e+01
"2010W25", 2.42800000e+01
"2010W26", 4.42400000e+01
"2010W27", 6.87800000e+01
"2010W28", 3.59200000e+01
"2010W29", 7.36300000e+01
"2010W30", 3.94700000e+01
"2010W31", 6.83400000e+01
"2010W32", 7.04000000e+01
"2010W33", 4.42300000e+01
"2010W34", 1.96000000e+00
"2010W35", 3.30900000e+01
"2010W36", 4.24300000e+01
"2010W37", 2.70300000e+01
"2010W38", 1.97100000e+01
"2010W39", 8.21700000e+01
"2010W40", 4.29900000e+01
"2010W41", 8.87800000e+01
"2010W42", 3.91200000e+01
"2010W43", 7.69100000e+01
"2010W44", 3.96800000e+01
"2010W45", 8.08500000e+01
"2010W46", 7.55100000e+01
"2010W47", 3.77400000e+01
"2010W48", 2.16000000e+01
"2010W49", 7.90400000e+01
"2010W50", 9.49300000e+01
"2010W51", 3.27600000e+01
"2010W52", 6.71300000e+01
